56	42	89	7	3	7	22	86	41	96
27	70	68	77	93	58	72	45	74	61
81	7	77	1	36	55	78	16	62	17
13	21	28	86	75	14	88	89	40	71
18	26	50	32	43	97	90	50	34	44
13	58	36	22	93	76	2	79	10	90
87	1	22	46	41	48	60	8	22	3
77	85	66	7	68	54	62	98	72	1
85	1	89	55	81	38	75	26	39	34
83	6	70	23	21	19	56	34	72	89
63	40	69	65	40	18	14	92	71	19
73	71	46	65	34	29	24	53	27	41
46	89	95	27	37	60	62	14	52	65
14	30	60	80	93	91	33	95	11	62
21	8	75	67	29	92	87	73	44	4
35	91	19	64	4	72	71	75	66	65
79	61	23	10	1	88	16	2	52	53
61	21	48	6	49	94	5	79	69	2
35	93	81	8	7	71	71	58	40	36
79	8	1	99	31	32	11	47	14	31
75	10	42	92	56	100	100	83	51	60
44	48	96	55	17	37	14	94	43	50
52	40	52	41	7	5	22	18	56	89
87	58	26	72	19	35	69	14	99	47
46	36	35	87	23	43	77	26	35	33
86	13	47	90	34	82	96	55	16	20
53	23	48	10	66	72	80	30	87	57
54	98	90	86	28	27	64	8	55	87
51	100	18	29	73	94	23	7	85	35
44	20	15	40	60	76	14	26	5	49
46	56	25	59	73	72	13	57	95	83
94	55	41	66	52	48	50	21	62	93
94	76	35	63	64	17	35	27	99	26
89	33	94	44	29	24	56	89	39	7
8	31	74	7	26	53	20	9	38	7
87	4	94	22	5	46	42	69	49	68
37	68	89	68	59	48	33	26	82	28
38	47	99	28	88	26	1	99	69	76
5	39	95	80	1	20	10	8	15	33
67	11	99	8	57	28	1	73	85	96
64	75	61	64	8	75	23	94	71	58
41	50	20	85	88	88	16	91	49	81
1	96	56	40	49	54	29	76	49	22
54	68	21	36	53	90	19	43	35	48
63	52	10	45	21	38	53	33	11	68
27	77	10	14	92	34	12	34	72	64
53	95	34	46	39	61	71	61	24	32
68	7	2	54	65	51	49	77	11	47
17	65	20	4	88	36	96	66	88	55
4	12	98	97	59	64	30	8	40	29
